,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,510,443,66,119,9,56,23,.269,.349,.391,.740
4 Seasons,1287,1126,161,288,22,118,37,.256,.336,.378,.714
