PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, K(W, 5-0)",5.0,5,1,1,1,4,1,1.58
"Effross(H, 4)",1.0,0,0,0,1,3,0,3.05
Wick,1.0,2,0,0,0,0,0,2.50
Givens,1.0,0,0,0,0,1,0,3.12
Robertson,1.0,0,0,0,1,0,0,1.65
,9.0,7,1,1,3,8,1,
