BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YastrzemskiCF,4,0,2,1,1,0,1,.283,.714
PedersonDH,5,0,0,0,0,1,5,.295,.946
Flores1B,4,0,2,0,0,0,0,.279,.758
"Crawford, BraSS",4,0,1,0,0,1,1,.221,.653
RufLF,4,0,1,0,0,0,2,.181,.489
"Gonzalez, LRF",3,0,2,0,1,0,1,.333,.844
Estrada2B,3,1,0,0,1,0,2,.228,.621
Vosler3B,4,0,1,0,0,2,3,.273,.827
CasaliC,3,0,1,0,1,1,2,.182,.471
,34,1,10,1,4,5,17,,
