Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,24,20.2,,,99,57,683,0.4
2017,25,22.3,,,79,62,659,1.9
2018,26,21.4,,,85,73,665,0.7
