Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2011,West Virginia Power,SAL,A(Full),P,23,23,92.2,17,7,8,2,0,,.882
2012,2 Teams,,Minors,P,26,26,142.0,35,12,23,0,2,,1.000
2012,2 Teams,,Minors,P,26,26,142.0,35,12,23,0,2,,1.000
2012,Bradenton Marauders,FSL,A(Adv),P,23,23,125.0,32,12,20,0,2,,1.000
2012,Altoona Curve,EAS,AA,P,3,3,17.0,3,0,3,0,0,,1.000
2013,2 Teams,,Minors,P,26,25,147.1,27,15,12,0,1,,1.000
2013,2 Teams,,Minors,P,26,25,147.1,27,15,12,0,1,,1.000
2013,Altoona Curve,EAS,AA,P,20,19,110.1,22,14,8,0,1,,1.000
2013,Indianapolis Indians,INT,AAA,P,6,6,37.0,5,1,4,0,0,,1.000
2016,Indianapolis Indians,INT,AAA,P,10,10,61.2,14,6,7,1,1,,.929
2017,2 Teams,,Minors,P,3,3,14.0,4,0,3,1,0,,.750
2017,2 Teams,,Minors,P,3,3,14.0,4,0,3,1,0,,.750
2017,Altoona Curve,EAS,AA,P,1,1,3.0,0,0,0,0,0,,.000
2017,Indianapolis Indians,INT,AAA,P,2,2,11.0,4,0,3,1,0,,.750
2021,Scranton/Wilkes-Barre RailRiders,INT,AAA,P,1,1,3.0,0,0,0,0,0,,.000
,2 Teams,,AAA,P,19,19,112.2,23,7,14,2,1,,.913
,Altoona Curve,EAS,AA,P,24,23,130.1,25,14,11,0,1,,1.000
,Bradenton Marauders,FSL,A+,P,23,23,125.0,32,12,20,0,2,,1.000
,Charleston Dirty Birds,ALPB,A,P,23,23,92.2,17,7,8,2,0,,.882
,5 Teams,,Minors,P,89,88,460.2,97,40,53,4,4,,.959
Career Minors,5 Teams,,,P,89,88,460.2,97,40,53,4,4,,.959
