 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,137,498,2,-4,4,2,4
2018,,330,"1,253",-1,-5,16,6,17
2019,,368,"1,477",-4,-17,14,8,2
2020,,191,812,3,-4,9,4,11
2021,,484,"1,895",5,-1,19,13,35
2022,,546,"2,229",-13,-12,21,11,7
