Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,-1,,-1,0,0,-1,0,0,0,0,83,82,-1
2018,-5,,0,1,-1,0,-2,-2,-2,-5,90,86,-4
2019,-8,,-1,0,-1,-2,-4,-1,-1,-6,88,83,-5
2020,-1,,0,0,-1,-1,0,0,0,0,90,87,-3
2021,-7,,0,0,-2,-2,-1,-2,-2,-5,84,80,-4
2022,-10,,-1,-1,-2,-4,-2,-2,-2,-6,86,81,-5
