Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2017,CIN,NL,137,64,49,1,0,.322,14,2,14,499,3.642,.175,.051,.625,.231,1,0
2018,CIN,NL,334,121,103,1,1,.336,23,6,52,1256,3.760,.138,.021,1.065,.132,2,1
2019,CIN,NL,384,160,125,0,0,.286,35,10,34,1522,3.964,.156,.042,.633,.204,3,1
2020,CIN,NL,183,81,52,0,1,.283,19,3,20,783,4.279,.251,.066,.609,.289,1,0
2021,CIN,NL,485,235,175,0,0,.324,57,14,77,1895,3.907,.155,.049,.707,.251,1,1
2022,SEA,AL,547,157,185,0,3,.251,29,8,72,2229,4.075,.188,.026,.816,.125,3,1
6 Seasons,2 Teams,,2070,818,689,2,5,.297,177,43,269,8184,3.954,.171,.039,.754,.192,11,4
