 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,29,89.4,--,--,--,--,--,--,--,--,--,28,--,--,--,1,--
2021,273,93.7,85.4,--,--,--,--,--,--,--,--,267,85.4,1,--,5,--
2022,324,90.2,84.2,--,--,--,--,--,--,--,--,324,84.2,--,--,--,--
