Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2016,,,,,,,,,70,,,,,,56,,
2017,30,11,55,70,4,74,87,49,94,40,9,13,6,23,56,40,
2018,48,32,75,84,17,78,91,70,92,82,25,28,12,39,57,27,
2019,29,6,55,80,10,67,84,64,93,51,4,57,16,44,54,91,
2020,39,7,59,82,21,41,70,64,85,50,29,63,17,53,63,42,98
2021,76,61,84,87,41,92,88,67,97,71,41,33,39,19,57,20,100
2022,58,37,74,79,32,76,76,78,86,70,37,43,35,31,45,28,96
