Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,-2,,0,-1,0,-1,0,0,0,-1,87,78,-9
2017,-1,,-3,-1,-1,-5,1,4,0,4,84,84,0
2018,-2,,-1,-1,-2,-3,0,1,0,1,87,86,-1
2019,6,,1,2,-1,2,2,1,0,4,84,87,3
2020,0,,0,0,0,0,0,1,-1,0,83,83,0
2021,-3,,-1,-1,-2,-4,0,-1,2,1,86,85,-1
2022,-2,,0,-2,0,-2,0,0,0,0,88,87,-1
