,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2016,SD,NL,11,36,35,8,13,3,0,4,14,1,5,0,0,0,.371,.389,.800,1.189
,2017,SD,NL,122,479,445,51,103,25,1,26,58,27,140,3,0,6,.231,.284,.467,.751
,2018,SD,NL,117,441,403,53,100,23,1,26,68,30,109,2,1,3,.248,.302,.504,.806
,2019,SD,NL,140,494,440,64,95,19,1,33,64,46,154,5,0,2,.216,.289,.489,.778
,2020,TB,AL,42,139,122,18,19,5,0,8,22,14,37,2,0,2,.156,.252,.393,.645
,2021,BOS,AL,144,572,521,89,135,33,0,31,96,44,130,1,2,1,.259,.315,.501,.816
,2022,MIL,NL,125,522,474,62,121,23,1,29,72,39,121,1,1,4,.255,.315,.492,.807
,7 Seasons,4 Teams,,701,2683,2440,345,586,131,4,157,394,201,696,14,4,18,.240,.300,.490,.790
