PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(L, 10-8)",5.2,7,5,5,1,4,1,3.12
Cousins,1.1,1,0,0,1,2,0,3.86
Topa,1.0,2,2,2,2,1,0,3.38
Strzelecki,1.0,0,0,0,1,2,0,3.58
,9.0,10,7,7,5,9,1,
