PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Kaprielian(W, 4-9)",7.0,2,0,0,1,6,0,4.43
"Puk(H, 20)",1.0,1,1,1,0,0,1,3.23
"Acevedo(S, 4)",1.0,1,0,0,0,1,0,3.34
,9.0,4,1,1,1,7,1,
