PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Pérez,7.0,8,1,1,0,5,0,2.10
"Santana, D(W, 3-2)",1.0,0,0,0,0,2,0,1.40
"Barlow, J(S, 12)",1.0,0,0,0,1,1,0,3.09
,9.0,8,1,1,1,8,0,
