PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Skubal(W, 2-2)",7.0,3,0,0,3,5,0,2.94
"Jiménez, J",1.0,0,0,0,0,1,0,4.38
Hutchison,1.0,1,0,0,0,0,0,4.60
,9.0,4,0,0,3,6,0,
