BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Neuse1B,4,0,0,0,0,1,1,.293,.746
PinderLF,4,0,0,0,0,2,0,.256,.673
LaureanoRF,3,0,0,0,1,0,0,.000,.083
"Murphy, SDH",3,0,1,0,1,0,1,.217,.725
BethancourtC,3,0,0,0,1,0,1,.208,.582
"Smith, K3B",3,0,1,0,0,0,2,.197,.595
AndrusSS,3,0,1,0,0,1,1,.194,.552
PacheCF,3,0,0,0,0,1,1,.163,.442
Kemp2B,3,0,1,0,0,1,0,.221,.583
,29,0,4,0,3,6,7,,
