BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Albies2B,3,0,0,0,1,1,0,.218,.847
Olson1B,4,1,1,0,0,0,1,.400,1.156
OzunaDH,3,0,1,1,1,1,0,.291,.892
DuvallCF,4,0,0,0,0,2,2,.200,.553
"Rosario, ELF",2,0,0,0,1,1,0,.081,.298
Arcia3B,2,0,0,0,1,0,1,.333,.829
HerediaRF,2,0,0,0,0,0,0,.188,.673
"a-Dickerson, APH-RF",1,0,0,0,0,0,1,.045,.170
PiñaC,3,0,1,0,0,0,0,.182,.413
SwansonSS,3,0,0,0,0,1,1,.143,.432
,27,1,3,1,4,6,6,,
