PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Gausman(L, 8-9)",4.2,9,5,5,1,5,1,3.16
Phelps,1.1,0,0,0,0,2,0,2.58
"Richards, T",1.0,0,0,0,1,1,0,5.04
Bass,1.0,1,0,0,0,0,0,1.43
Thornton,1.0,3,2,2,0,1,0,4.50
,9.0,13,7,7,2,9,1,
