Season,Team,Pos,PA,Depth (ft.),Angle
2016,MIA,7,412,299,-28
2016,MIA,8,4412,325,0
2016,MIA,9,294,298,29
2017,MIA,8,82,322,-2
2017,MIA,7,5759,294,-28
2017,MIA,9,4,287,27
2018,STL,7,5483,293,-29
2019,STL,7,4552,292,-29
2020,ATL,9,82,303,29
2020,ATL,7,635,301,-28
2021,ATL,7,1718,294,-27
2022,ATL,7,1781,298,-27
