Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,61,70,65,58,48,57,60,94,97,91,25,32,19,31,82,,
2016,69,79,73,67,55,74,61,81,93,80,54,35,26,31,76,,
2017,87,87,88,82,73,91,73,94,96,93,43,60,27,35,71,80,
2018,85,92,88,77,59,91,72,90,99,87,73,19,48,52,69,35,
2019,90,88,89,84,88,85,85,91,97,96,57,80,27,57,64,6,
2020,99,97,98,98,98,98,94,96,98,97,48,88,21,43,58,,4
2021,,,,,,,,,92,,,,,,40,,11
2022,72,64,90,90,32,86,90,57,93,72,31,21,22,20,32,,15
