BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B,4,1,2,1,0,1,1,.256,.622
France1B,4,2,2,3,0,0,2,.289,.900
WinkerLF,4,0,0,0,0,0,2,.152,.501
"Suárez, E3B",4,0,1,1,0,1,1,.182,.725
"Crawford, JSS",2,0,0,0,2,0,0,.355,.952
TorrensC,4,1,1,0,0,1,3,.231,.517
KelenicRF,4,2,2,0,0,0,0,.172,.552
ToroDH,4,0,1,1,0,0,2,.087,.261
"Rodríguez, JCF",4,1,1,1,0,0,1,.125,.356
,34,7,10,7,2,3,12,,
