PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Peralta, F",2.0,2,0,0,1,3,0,3.36
Ashby,1.2,2,1,1,2,0,0,4.50
Strzelecki,1.1,0,0,0,0,2,0,3.13
Gott,1.0,0,0,0,0,0,0,3.76
Boxberger,1.0,1,0,0,0,2,0,3.20
"Bush(L, 2-3)",1.0,1,1,1,0,1,1,3.47
,8.0,6,2,2,3,8,1,
