PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gonzales(L, 3-7)",6.2,3,1,1,2,2,0,3.41
Sewald,0.1,1,0,0,0,0,0,3.04
Murfee,0.2,3,3,3,1,1,0,1.93
Romo,0.1,0,0,0,0,0,0,6.39
Elías,1.0,1,1,1,1,1,0,4.76
,9.0,8,5,5,4,4,0,
