BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonCF,5,0,0,0,0,2,2,.227,.878
CorreaSS,5,1,1,1,0,1,1,.304,.829
Urshela3B,4,0,1,0,0,0,1,.262,.694
SanchezDH,3,2,1,0,1,0,1,.218,.698
Arraez2B,3,0,1,2,1,1,0,.354,.864
Miranda1B,3,0,0,0,1,0,3,.216,.636
JeffersC,3,1,2,1,1,0,1,.181,.583
KeplerRF,4,0,1,0,0,0,3,.243,.741
CelestinoLF,4,1,1,1,0,0,1,.330,.774
,34,5,8,5,4,4,13,,
