 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2017,4,7,57.1,1,-0.6,0,-0.2,-0.9,31.8
2019,8,12,66.7,2,-0.9,1.2,0.7,0.9,35
2020,12,20,60,2,-1,0.6,1.2,2.1,34.8
2021,20,47,42.6,-2,-0.6,-0.3,0.2,-0.7,31.7
2022,28,75,37.3,-8,-0.8,-1,0.2,-1.3,32.2
