Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2017,BAL,AL,63,19,21,0,1,.273,4,2,10,224,3.556,.254,.016,.125,.100,1,0
2019,BAL,AL,75,39,18,0,0,.333,10,0,8,291,3.880,.173,.053,.538,.265,1,0
2020,BAL,AL,134,48,45,0,2,.316,6,1,14,537,4.007,.187,.030,.320,.115,4,0
2021,BAL,AL,529,225,181,3,1,.286,52,9,77,1957,3.699,.202,.042,.262,.205,3,1
2022,BAL,AL,582,221,240,0,3,.289,53,11,75,2051,3.524,.196,.027,.298,.163,7,0
5 Seasons,BAL,AL,1383,552,505,3,7,.292,125,23,184,5060,3.659,.199,.034,.287,.177,16,1
