 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2017,,73,17.8,13.7%,1.4%,23,25.3,0.0%,13.0%
2019,,96,18.6,14.6%,3.1%,40,23.0,0.0%,12.5%
2020,,176,20.0,7.4%,2.3%,73,24.0,1.4%,16.4%
2021,,561,19.2,10.7%,4.5%,352,25.4,0.6%,16.8%
2022,,516,19.1,14.5%,4.7%,361,23.7,0.0%,12.5%
