Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,0,,0,0,0,0,0,-1,1,0,88,87,-1
2019,1,,1,0,0,1,-1,0,0,0,89,92,3
2020,0,,-1,-1,0,-1,1,0,0,1,87,87,0
2021,0,,1,0,-1,0,0,-1,1,-1,90,89,-1
2022,-7,,-1,0,-1,-3,0,-1,-3,-4,87,85,-2
