Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,R,63,14,22.2,.208,.338
2019,R,75,9,12.0,.391,.405
2020,R,134,28,20.9,.289,.410
2021,R,529,82,15.5,.325,.345
2022,R,575,104,18.1,.313,.317
