Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2017,BAL,AL,CF,8,7,55.0,11,11,0,0,0,,1.000
2017,BAL,AL,RF,14,9,89.1,20,17,0,3,0,,.850
2019,BAL,AL,CF,20,15,153.1,55,54,1,0,0,,1.000
2020,BAL,AL,LF,10,8,69.0,18,16,2,0,0,,1.000
2020,BAL,AL,CF,23,20,180.0,49,48,1,0,0,,1.000
2020,BAL,AL,RF,3,3,25.0,3,3,0,0,0,,1.000
2021,BAL,AL,LF,88,75,662.1,144,140,4,0,0,,1.000
2021,BAL,AL,CF,6,3,30.0,9,8,0,1,0,,.889
2021,BAL,AL,RF,54,42,360.0,101,96,5,0,2,,1.000
2022,BAL,AL,LF,86,82,744.1,161,156,5,0,0,,1.000
2022,BAL,AL,CF,6,3,28.0,8,7,1,0,0,,1.000
2022,BAL,AL,RF,58,51,439.0,116,113,2,1,0,,.991
2022,BAL,AL,DH,3,3,0.0,0,0,0,0,0,,.000
5 Seasons,BAL,AL,LF,184,165,1475.2,323,312,11,0,0,,1.000
,BAL,AL,CF,63,48,446.1,132,128,3,1,0,,.992
,BAL,AL,RF,129,105,913.1,240,229,7,4,2,,.983
,BAL,AL,DH,3,3,0.0,0,0,0,0,0,,.000
