Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Baltimore Orioles,MLB,vs Left,160,146,,36,7,1,4,6,11,33,,,3,.247,.313,.390,.703
Baltimore Orioles,MLB,vs Right,422,389,,98,28,1,12,54,23,81,,,7,.252,.303,.422,.725
