Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,22.4,1,1.2,0,2,1,0,0.0
2019,,22.1,4,2.4,2,4,1,1,25.0
2020,,22.3,4,3.1,1,2,1,2,50.0
2021,,22.4,22,20.8,1,10,13,11,50.0
2022,,24.0,16,16.5,-1,9,8,10,62.5
Player,,23.0,47,43.9,3,27,24,24,51.1
