Season,Team,Pos,PA,Depth (ft.),Angle
2017,BAL,8,254,325,1
2017,BAL,9,383,298,26
2019,BAL,8,658,322,1
2020,BAL,8,770,321,1
2020,BAL,7,303,302,-27
2020,BAL,9,115,298,28
2021,BAL,9,1640,295,28
2021,BAL,8,135,322,0
2021,BAL,7,2942,299,-27
2022,BAL,9,1822,295,27
2022,BAL,7,3116,302,-26
2022,BAL,8,126,319,0
