BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,3,1,1,1,2,.500,1.306
"Marte, SRF",5,0,0,0,0,1,8,.222,.444
LindorSS,4,2,2,1,1,1,2,.286,1.158
Alonso1B,3,2,1,1,2,2,1,.286,1.158
CanhaLF,3,1,0,0,2,1,1,.000,.222
McNeil2B,4,1,1,2,0,0,3,.250,.625
Escobar3B,3,1,1,1,1,1,0,.500,1.792
RufDH,1,0,0,0,1,1,0,.000,.667
1-GorePR-DH,0,0,0,0,0,0,0,.000,.000
a-VogelbachPH-DH,0,0,0,1,0,0,0,.000,.000
NidoC,3,0,1,0,1,1,3,.200,.533
,30,7,9,7,9,9,20,,
