Season,Team,Pos,PA,Depth (ft.),Angle
2016,CLE,3,2242,110,35
2017,CLE,9,228,286,29
2017,CLE,3,4958,107,35
2018,PHI,3,5290,106,35
2018,PHI,5,521,112,-31
2019,CLE,3,4931,109,33
2020,CLE,3,2139,107,33
2021,KC,3,5029,108,34
2022,SEA,3,1176,109,33
2022,SEA,9,3,276,28
2022,KC,3,1618,106,34
