,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,506,431,52,87,19,60,0,.202,.316,.376,.692
13 Seasons,7567,6329,917,1533,278,925,48,.242,.359,.432,.791
