Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Montgomery Biscuits,Double-A,Bases Empty,,,,4,,,9.1,46,12,,,1,5,14,1.82
Charlotte Stone Crabs,Class A Advanced,Bases Empty,,,,9,,,32.1,123,20,,,1,3,34,0.71
Bowling Green Hot Rods,Class A,Bases Empty,,,,11,,,29.2,129,23,,,3,16,44,1.31
Montgomery Biscuits,Double-A,Bases Loaded,,,,1,,,0.0,1,1,,,0,0,0,-.--
Charlotte Stone Crabs,Class A Advanced,Bases Loaded,,,,2,,,0.2,2,0,,,0,0,1,0.00
Bowling Green Hot Rods,Class A,Bases Loaded,,,,2,,,0.1,2,1,,,0,0,0,3.00
Montgomery Biscuits,Double-A,Runner at 1st,,,,4,,,3.2,15,6,,,1,0,2,1.64
Charlotte Stone Crabs,Class A Advanced,Runner at 1st,,,,9,,,5.1,25,7,,,0,3,9,1.88
Bowling Green Hot Rods,Class A,Runner at 1st,,,,11,,,7.2,33,9,,,0,5,9,1.83
Montgomery Biscuits,Double-A,Runners at 1st & 2nd,,,,2,,,1.1,5,1,,,0,0,1,0.75
Charlotte Stone Crabs,Class A Advanced,Runners at 1st & 2nd,,,,6,,,4.0,13,1,,,0,1,7,0.50
Bowling Green Hot Rods,Class A,Runners at 1st & 2nd,,,,6,,,4.0,13,3,,,0,1,5,1.00
Montgomery Biscuits,Double-A,Runners at 1st & 3rd,,,,3,,,1.2,9,4,,,0,0,1,2.40
Charlotte Stone Crabs,Class A Advanced,Runners at 1st & 3rd,,,,2,,,0.2,2,0,,,0,0,1,0.00
Bowling Green Hot Rods,Class A,Runners at 1st & 3rd,,,,3,,,0.1,2,0,,,0,1,0,3.00
Montgomery Biscuits,Double-A,Runner at 2nd,,,,4,,,1.1,9,5,,,0,0,1,3.75
Charlotte Stone Crabs,Class A Advanced,Runner at 2nd,,,,8,,,4.0,15,3,,,0,0,3,0.75
Bowling Green Hot Rods,Class A,Runner at 2nd,,,,11,,,7.1,29,0,,,0,7,10,0.95
Charlotte Stone Crabs,Class A Advanced,Runners at 2nd & 3rd,,,,3,,,1.0,5,0,,,0,1,2,1.00
Bowling Green Hot Rods,Class A,Runners at 2nd & 3rd,,,,1,,,0.2,2,0,,,0,0,1,0.00
Montgomery Biscuits,Double-A,Runner at 3rd,,,,3,,,1.0,5,1,,,1,1,2,2.00
Charlotte Stone Crabs,Class A Advanced,Runner at 3rd,,,,4,,,1.1,6,2,,,0,0,2,1.50
Bowling Green Hot Rods,Class A,Runner at 3rd,,,,7,,,3.0,13,2,,,0,1,5,1.00
Montgomery Biscuits,Double-A,Scoring Position,,,,4,,,5.1,29,12,,,1,1,5,2.44
Charlotte Stone Crabs,Class A Advanced,Scoring Position,,,,8,,,11.2,43,6,,,0,2,16,0.69
Bowling Green Hot Rods,Class A,Scoring Position,,,,11,,,15.2,61,6,,,0,10,21,1.02
