Season,Tm,LG,L,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,2 Teams,,Minors,P,4,4,7.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,P,4,4,7.0,0,0,0,0,0,,.000
2018,2 Teams,,Minors,P,4,4,7.0,0,0,0,0,0,,.000
2018,GCL Rays,GCL,ROK,P,2,2,3.0,0,0,0,0,0,,.000
2018,Princeton Rays,APP,ROK,P,2,2,4.0,0,0,0,0,0,,.000
2018,2 Teams,,ROK,P,4,4,7.0,0,0,0,0,0,,.000
2019,3 Teams,,Minors,P,24,22,120.2,21,4,12,5,0,,.762
2019,3 Teams,,Minors,P,24,22,120.2,21,4,12,5,0,,.762
2019,3 Teams,,Minors,P,24,22,120.2,21,4,12,5,0,,.762
2019,Bowling Green Hot Rods,MID,A(Full),P,11,10,53.0,10,3,4,3,0,,.700
2019,Charlotte Stone Crabs,FSL,A(Adv),P,9,8,49.1,9,1,8,0,0,,1.000
2019,Montgomery Biscuits,SOU,AA,P,4,4,18.1,2,0,0,2,0,,.000
,2 Teams,,ROK,P,4,4,7.0,0,0,0,0,0,,.000
,Montgomery Biscuits,SOU,AA,P,4,4,18.1,2,0,0,2,0,,.000
,Charlotte Stone Crabs,FSL,A+,P,9,8,49.1,9,1,8,0,0,,1.000
,Bowling Green Hot Rods,SAL,A,P,11,10,53.0,10,3,4,3,0,,.700
,5 Teams,,Minors,P,28,26,127.2,21,4,12,5,0,,.762
,5 Teams,,Minors,P,28,26,127.2,21,4,12,5,0,,.762
Career Minors,5 Teams,,,P,28,26,127.2,21,4,12,5,0,,.762
