PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cueto(W, 5-5)",8.0,6,2,1,1,3,0,2.78
"Hendriks(S, 26)",1.0,1,0,0,1,0,0,3.02
,9.0,7,2,1,2,3,0,
