BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Henderson3B,4,0,0,0,0,4,0,.267,.814
Mountcastle1B,3,0,1,0,1,2,0,.248,.726
RutschmanDH,4,0,1,0,0,2,1,.251,.800
HaysRF,4,0,0,0,0,1,3,.251,.721
McKennaLF,4,0,0,0,0,1,2,.240,.646
MullinsCF,3,0,0,0,0,3,0,.260,.725
MateoSS,2,0,1,0,1,0,0,.222,.651
Odor2B,2,0,0,0,0,1,2,.210,.639
ChirinosC,3,0,0,0,0,0,2,.177,.550
,29,0,3,0,2,14,10,,
