PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Wood(L, 6-8)",4.0,4,2,2,2,6,2,4.21
"Marte, Y",0.2,0,0,0,1,0,0,4.74
"García, J",1.0,2,1,1,0,1,0,2.62
Brebbia,1.1,1,1,1,0,0,1,2.53
Long,1.0,0,0,0,0,2,0,2.84
,8.0,7,4,4,3,9,3,
