 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,110,89.6,83.9,--,--,--,--,--,--,--,--,110,83.9,--,--,--,--
2021,229,91.3,83.4,32,--,--,--,--,--,--,--,197,83.4,--,--,--,--
2022,381,88.7,82.0,--,--,--,--,--,--,--,--,381,82.0,--,--,--,--
