 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,302,"1,281",5,-2,7,8,18
2016,,25,100,-2,0,2,1,0
2017,,505,"2,186",-11,-20,19,12,0
2018,,491,"2,144",-2,-26,20,10,0
2019,,601,"2,514",-1,-25,26,13,13
2020,,230,989,-3,-14,7,6,-3
2021,,519,"2,195",11,-21,28,12,29
2022,,737,"3,211",-11,-11,29,16,23
