,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2015,CHC,NL,69,273,232,52,57,6,1,16,43,36,77,3,3,4,.246,.355,.487,.842
,2016,CHC,NL,2,5,4,0,0,0,0,0,0,1,2,0,0,0,.000,.200,.000,.200
,2017,CHC,NL,129,486,422,67,89,16,1,30,59,59,150,1,1,5,.211,.315,.467,.782
,2018,CHC,NL,137,510,428,64,102,14,3,26,61,78,140,4,3,1,.238,.356,.467,.823
,2019,CHC,NL,155,610,529,82,132,29,3,38,92,70,156,2,3,5,.250,.339,.531,.870
,2020,CHC,NL,59,224,191,30,36,6,0,11,24,30,66,1,0,3,.188,.308,.393,.701
*,2021,WSH,NL,72,303,265,42,67,9,0,25,53,31,88,1,1,5,.253,.340,.570,.910
*,2021,BOS,AL,41,168,134,34,39,10,0,7,18,33,39,0,0,1,.291,.435,.522,.957
*,2021,2 Teams,,113,471,399,76,106,19,0,32,71,64,127,1,1,6,.266,.374,.554,.928
*,2022,PHI,NL,155,669,577,100,126,21,3,46,94,86,200,10,1,4,.218,.323,.504,.827
,8 Seasons,4 Teams,,819,3248,2782,471,648,111,11,199,444,424,918,22,12,28,.233,.339,.495,.834
