BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NootbaarRF,5,0,0,0,0,0,1,.245,.808
DonovanDH,5,1,1,0,0,1,0,.298,.790
Goldschmidt1B,2,2,1,0,2,1,0,.338,1.056
Arenado3B,4,1,4,2,0,0,0,.306,.941
DickersonLF,5,0,1,1,0,1,5,.277,.730
O'NeillCF,2,1,0,1,3,0,0,.227,.662
Gorman2B,3,0,0,0,0,0,2,.239,.751
a-CarlsonPH,1,0,1,0,0,0,0,.245,.713
MolinaC,0,0,0,0,0,0,0,.206,.489
KniznerC,2,1,1,2,0,0,1,.231,.631
b-PujolsPH,1,0,0,0,0,0,1,.274,.868
DeJongSS,0,0,0,0,0,0,0,.165,.585
EdmanSS-2B,4,0,0,0,0,3,3,.252,.686
,34,6,9,6,5,6,13,,
