PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cortes(L, 5-2)",4.1,7,4,4,0,3,2,1.96
Schmidt,1.2,3,4,4,2,2,0,3.63
Banuelos,2.0,1,0,0,1,2,0,0.00
,8.0,11,8,8,3,7,2,
