Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Indianapolis Indians,Triple-A,Home Games,1,0,0.00,1,1,0,5.2,18,0,0,0,0,0,6,0.00
Altoona Curve,Double-A,Home Games,0,1,2.25,1,1,0,4.0,14,2,1,1,1,0,4,0.50
Bradenton Marauders,Class A Advanced,Home Games,0,0,6.00,1,1,0,3.0,13,5,2,2,0,0,2,1.67
Indianapolis Indians,Triple-A,Away Games,0,1,10.80,1,1,0,5.0,27,10,6,6,0,2,5,2.40
Indianapolis Indians,Triple-A,Night Games,1,1,5.06,2,2,0,10.2,45,10,6,6,0,2,11,1.13
Altoona Curve,Double-A,Night Games,0,1,2.25,1,1,0,4.0,14,2,1,1,1,0,4,0.50
Bradenton Marauders,Class A Advanced,Night Games,0,0,6.00,1,1,0,3.0,13,5,2,2,0,0,2,1.67
Indianapolis Indians,Triple-A,Leading Off,,,,2,,,3.0,11,1,,,0,1,2,0.67
Altoona Curve,Double-A,Leading Off,,,,1,,,1.0,4,1,,,0,0,1,1.00
Bradenton Marauders,Class A Advanced,Leading Off,,,,1,,,0.2,3,1,,,0,0,1,1.50
