Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Indianapolis Indians,Triple-A,Bases Empty,,,,2,,,6.2,26,3,,,0,2,8,0.75
Altoona Curve,Double-A,Bases Empty,,,,1,,,3.0,11,2,,,1,0,4,0.67
Bradenton Marauders,Class A Advanced,Bases Empty,,,,1,,,2.0,8,2,,,0,0,2,1.00
Indianapolis Indians,Triple-A,Runner at 1st,,,,2,,,1.1,6,2,,,0,0,0,1.50
Bradenton Marauders,Class A Advanced,Runner at 1st,,,,1,,,0.0,2,2,,,0,0,0,-.--
Indianapolis Indians,Triple-A,Runners at 1st & 2nd,,,,1,,,1.0,3,0,,,0,0,2,0.00
Bradenton Marauders,Class A Advanced,Runners at 1st & 2nd,,,,1,,,0.1,1,0,,,0,0,0,0.00
Indianapolis Indians,Triple-A,Runners at 1st & 3rd,,,,1,,,0.0,1,1,,,0,0,0,-.--
Bradenton Marauders,Class A Advanced,Runners at 1st & 3rd,,,,1,,,0.2,1,0,,,0,0,0,0.00
Indianapolis Indians,Triple-A,Runner at 2nd,,,,1,,,0.1,3,2,,,0,0,0,6.00
Bradenton Marauders,Class A Advanced,Runner at 2nd,,,,1,,,0.0,1,1,,,0,0,0,-.--
Indianapolis Indians,Triple-A,Runners at 2nd & 3rd,,,,1,,,0.2,2,0,,,0,0,0,0.00
Indianapolis Indians,Triple-A,Runner at 3rd,,,,1,,,0.2,4,2,,,0,0,1,3.00
Altoona Curve,Double-A,Runner at 3rd,,,,1,,,1.0,3,0,,,0,0,0,0.00
Indianapolis Indians,Triple-A,Scoring Position,,,,1,,,2.2,13,5,,,0,0,3,1.88
Altoona Curve,Double-A,Scoring Position,,,,1,,,1.0,3,0,,,0,0,0,0.00
Bradenton Marauders,Class A Advanced,Scoring Position,,,,1,,,1.0,3,1,,,0,0,0,1.00
