BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Lowe, B2B",5,3,2,1,1,1,2,.263,.897
FrancoSS,5,2,2,1,1,1,2,.550,1.345
Choi1B,3,1,3,3,1,0,0,.615,1.706
"a-Díaz, YPH-1B",2,0,0,0,0,1,3,.091,.377
ArozarenaLF,6,0,1,1,0,0,3,.222,.500
"Lowe, JDH",4,0,0,0,2,3,5,.118,.553
MargotRF,5,0,1,1,1,1,5,.400,.900
"Phillips, BCF",4,1,1,1,1,1,5,.154,.599
ZuninoC,5,1,1,0,0,2,1,.091,.265
Walls3B,4,1,2,1,1,1,1,.273,.749
,43,9,13,9,8,11,27,,
