PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Brieske,7.0,3,0,0,2,6,0,3.79
"Fulmer(H, 9)",1.0,0,0,0,1,1,0,2.25
"Soto, G(L, 2-4)(BS, 2)",1.0,1,3,3,2,2,0,3.00
,9.0,4,3,3,5,9,0,
