BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,0,0,0,1,1,1,.221,.627
SeagerSS,2,1,0,0,2,0,0,.222,.705
"García, AdRF-CF",4,0,0,0,0,1,2,.244,.738
CalhounLF-RF,3,0,1,0,0,1,0,.241,.697
1-CulbersonPR-LF,0,1,0,0,0,0,0,.228,.513
HeimC,4,0,1,0,0,2,3,.243,.731
"Lowe, N1B",3,1,1,0,1,0,1,.276,.756
"Duran, E3B",4,0,1,3,0,0,3,.319,.886
"Miller, BDH",3,0,0,0,1,2,2,.218,.659
TaverasCF,2,0,0,0,0,1,0,.091,.258
a-HuffPH,1,0,0,0,0,1,1,.306,.735
ReksLF-RF,0,0,0,0,0,0,0,.276,.586
,29,3,4,3,5,9,13,,
