 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,171,85.7,82.0,1,--,49,--,--,--,--,--,9,--,48,--,64,84.2
2021,882,88.0,78.2,--,--,849,78.2,--,--,--,--,6,--,--,--,27,--
2022,504,88.7,84.0,1,--,343,78.0,--,--,--,--,9,--,57,81.9,94,85.0
