Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,KC,AL,332,122,115,1,1,.361,27,1,53,1258,3.789,.217,.006,.264,.109,2,0
2017,KC,AL,630,270,197,1,7,.308,57,13,83,2369,3.760,.140,.030,.330,.172,8,2
2018,KC,AL,707,277,195,2,6,.352,58,12,79,2733,3.866,.161,.017,.535,.134,2,1
2019,KC,AL,735,315,207,0,4,.350,67,8,76,2773,3.773,.171,.022,.357,.160,9,1
2020,KC,AL,265,109,80,0,1,.295,21,3,27,996,3.758,.125,.034,.364,.157,3,0
2021,KC,AL,720,262,224,0,12,.309,55,12,93,2608,3.622,.143,.014,.388,.117,5,0
2022,KC,AL,420,135,133,0,7,.266,30,8,54,1562,3.719,.145,.014,.492,.112,1,0
2022,TOR,AL,130,54,60,0,1,.312,10,3,18,455,3.500,.185,.038,.333,.165,0,0
2022,2 Teams,,550,189,193,0,8,.276,40,11,72,2017,3.667,.155,.020,.447,.125,1,0
7 Seasons,2 Teams,,3939,1544,1211,4,39,.322,325,60,483,14754,3.746,.158,.020,.393,.140,30,4
