PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Giolito(W, 10-7)",6.1,4,1,1,2,3,0,5.14
"Graveman(H, 21)",1.2,0,0,0,1,1,0,2.58
Hendriks,1.0,2,2,2,0,2,1,3.27
,9.0,6,3,3,3,6,1,
