BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,0,2,0,0,0,1,.267,.735
RutschmanDH,4,1,1,0,0,0,2,.257,.819
SantanderRF,4,0,0,0,0,2,2,.259,.787
Mountcastle1B,4,1,2,1,0,1,0,.250,.730
HaysLF,4,1,1,2,0,1,1,.257,.746
"Urías, R3B",3,0,0,0,1,1,0,.250,.714
Odor2B,3,0,0,0,1,0,0,.199,.622
MateoSS,3,0,0,0,0,0,3,.233,.689
ChirinosC,2,0,0,0,1,1,0,.178,.548
,31,3,6,3,3,6,9,,
