Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
St. Louis Cardinals,MLB,First Inning,,,0.82,11,,,11.0,42,8,3,1,1,1,11,0.82
New York Yankees,MLB,First Inning,,,4.29,21,,,21.0,87,23,10,10,3,2,20,1.19
St. Louis Cardinals,MLB,Second Inning,,,5.73,11,,,11.0,45,12,7,7,2,1,12,1.18
New York Yankees,MLB,Second Inning,,,3.43,21,,,21.0,85,17,8,8,3,4,14,1.00
St. Louis Cardinals,MLB,Third Inning,,,1.64,11,,,11.0,46,10,2,2,0,5,10,1.36
New York Yankees,MLB,Third Inning,,,3.54,21,,,20.1,85,18,9,8,1,5,16,1.13
St. Louis Cardinals,MLB,Fourth Inning,,,4.91,11,,,11.0,44,11,6,6,1,2,10,1.18
New York Yankees,MLB,Fourth Inning,,,3.72,20,,,19.1,77,15,8,8,2,6,15,1.09
St. Louis Cardinals,MLB,Fifth Inning,,,2.70,10,,,10.0,40,9,3,3,1,1,10,1.00
New York Yankees,MLB,Fifth Inning,,,2.60,19,,,17.1,70,12,5,5,0,6,18,1.04
St. Louis Cardinals,MLB,Sixth Inning,,,3.00,8,,,6.0,23,3,2,2,1,2,5,0.83
New York Yankees,MLB,Sixth Inning,,,3.65,14,,,12.1,49,12,5,5,4,0,10,0.97
St. Louis Cardinals,MLB,Seventh Inning,,,5.40,3,,,1.2,9,3,1,1,0,1,2,2.40
New York Yankees,MLB,Seventh Inning,,,8.10,7,,,3.1,16,6,3,3,2,0,4,1.80
St. Louis Cardinals,MLB,Eighth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,0,0.00
St. Louis Cardinals,MLB,Ninth Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,1,0.00
