BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,2,0,0,0,1,1,0,.265,.764
"Marte, SRF",3,0,0,0,0,2,3,.292,.808
LindorSS,4,1,1,0,0,0,1,.273,.808
AlonsoDH,3,0,0,0,1,0,0,.271,.870
Ruf1B,3,0,0,0,1,1,0,.218,.697
McNeil2B,4,0,1,0,0,1,2,.318,.829
CanhaLF,3,0,1,0,1,0,0,.271,.760
Baty3B,4,0,0,0,0,1,3,.176,.616
McCannC,3,0,0,0,0,1,1,.175,.495
,29,1,3,0,4,7,10,,
