PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Peterson, D(L, 6-3)",4.2,8,3,3,2,6,0,3.44
Nogosek,1.2,1,0,0,1,2,0,2.79
Zastryzny,1.0,1,1,1,0,1,0,9.00
Givens,0.2,1,0,0,0,0,0,3.91
,8.0,11,4,4,3,9,0,
