BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rosario, ERF",3,1,0,0,1,1,0,.000,.250
Olson1B,2,1,0,0,2,1,0,.000,.500
Riley3B,4,1,3,2,0,0,0,.750,2.250
OzunaLF,3,0,0,0,1,0,3,.000,.250
Albies2B,4,0,1,0,0,1,1,.250,.500
DuvallCF,3,0,0,0,1,3,1,.000,.250
d'ArnaudC,4,0,0,0,0,2,3,.000,.000
"Dickerson, ADH",2,0,0,0,0,0,1,.000,.000
a-HerediaPH-DH,2,0,0,0,0,1,0,.000,.000
SwansonSS,4,0,0,0,0,4,0,.000,.000
,31,3,4,2,5,13,9,,
