Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2016,NYY,AL,RF,27,24,216.0,38,35,2,1,0,,.974
2017,NYY,AL,RF,141,141,1238.2,275,265,5,5,2,,.982
2017,NYY,AL,DH,10,10,0.0,0,0,0,0,0,,.000
2018,NYY,AL,CF,1,1,8.0,1,1,0,0,0,,1.000
2018,NYY,AL,RF,90,88,789.2,182,170,9,3,2,,.984
2018,NYY,AL,DH,19,19,0.0,0,0,0,0,0,,.000
2019,NYY,AL,RF,92,90,775.1,184,177,7,0,0,,1.000
2019,NYY,AL,DH,10,9,0.0,0,0,0,0,0,,.000
2020,NYY,AL,RF,25,23,187.2,46,45,1,0,1,,1.000
2020,NYY,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2021,NYY,AL,CF,23,21,158.0,42,40,2,0,0,,1.000
2021,NYY,AL,RF,114,101,912.0,217,206,8,3,2,,.986
2021,NYY,AL,DH,22,22,0.0,0,0,0,0,0,,.000
2022,NYY,AL,CF,78,74,632.2,165,162,3,0,1,,1.000
2022,NYY,AL,RF,73,54,491.2,116,113,3,0,0,,1.000
2022,NYY,AL,DH,25,25,0.0,0,0,0,0,0,,.000
7 Seasons,NYY,AL,CF,102,96,798.2,208,203,5,0,1,,1.000
,NYY,AL,RF,562,521,4611.0,1058,1011,35,12,7,,.989
,NYY,AL,DH,89,88,0.0,0,0,0,0,0,,.000
