 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2016,,95,408,0,-6,0,2,-4
2017,,724,"3,267",31,-22,29,19,57
2018,,516,"2,212",6,-6,29,12,41
2019,,476,"2,032",13,-22,17,12,20
2020,,149,610,7,-9,4,4,6
2021,,630,"2,641",11,-12,20,18,37
2022,,715,"3,070",52,-13,25,16,80
