,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,696,570,133,177,62,131,16,.311,.425,.686,1.111
7 Seasons,3161,2638,535,748,220,497,40,.284,.394,.583,.977
