Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2016,24,25.4,,,60,48,516,24.8
2017,25,28.0,4.5,,26,20,170,74.8
2018,26,28.1,4.56,,26,21,164,75.6
2019,27,28.3,4.55,,18,14,139,79.8
2020,28,26.8,4.73,,43,27,265,47.2
2021,29,27.6,4.65,1,30,16,245,63.9
2022,30,27.3,4.66,,70,18,312,50.1
